#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
27413433	gwEuk.3.770.1	10007	10007	PF00005,PF00664	PTHR24223		3.6.3.44		GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810	AT2G34660.1	ATMRP2,EST4,MRP2	multidrug resistance-associated protein 2	Cre13.g564900.t1.2	g13898.t1,Cre13.g564900.t1.1,MRP3	ABC transporter, multidrug resistance associated protein
27419894	gwEuk.14.468.1	10027	10027	PF00773	PTHR23355,PTHR23355:SF30	KOG2102	3.1.13.1		GO:0090503,GO:0016075,GO:0000175	AT2G17510.1	EMB2763	ribonuclease II family protein	Cre12.g507250.t1.1	g12417.t1	
27414844	gwEuk.2.648.1	10028	10028	PF00005,PF06472	PTHR11384	KOG0060	3.6.3.47	K05677	GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810	AT4G39850.3	ACN2,AtABCD1,CTS,PED3,PXA1	peroxisomal ABC transporter 1	Cre15.g637761.t3.1	g15380.t1	
27413367	gwEuk.3.773.1	10034	10034	PF12392,PF01136	PTHR30217,PTHR30217:SF10		1.13.11.27		GO:0008233,GO:0006508				Cre01.g052601.t1.1	g1165.t1	
27419966	gwEuk.14.471.1	10035	10035	PF00326,PF02897	PTHR11757	KOG2237	3.4.21.83	K01354	GO:0008236,GO:0006508,GO:0070008,GO:0004252	AT1G50380.1		Prolyl oligopeptidase family protein	Cre17.g697650.t1.1	g16920.t1	
27416984	gwEuk.12.452.1	10064	10064	PF12831,PF00173	PTHR11632,PTHR11632:SF39	KOG2404	1.3.1.6			AT5G14760.1	AO	L-aspartate oxidase	Cre17.g696600.t1.1	g16896.t1	
27417220	gwEuk.15.325.1	10071	10071	PF12848,PF00005	PTHR19211,PTHR19211:SF56	KOG0062,KOG0927	3.6.1.3		GO:0016887,GO:0005524	AT1G64550.1	ATGCN3,GCN3	general control non-repressible 3	Cre06.g271850.t1.2	g6100.t1,Cre06.g271850.t1.1	
27413932	gwEuk.9.574.1	10093	10093	PF02493	PTHR23084					AT3G07960.1		Phosphatidylinositol-4-phosphate 5-kinase family protein	Cre12.g521550.t1.1	g12848.t1	
27415507	gwEuk.4.670.1	10106	10106	PF07699	PTHR22727								Cre04.g215900.t1.1	g4653.t1	
27417892	gwEuk.1.870.1	10107	10107	PF07699	PTHR22727								Cre14.g630700.t1.2	g15188.t1,Cre14.g630700.t1.1	
27415209	gwEuk.21.276.1	10111	10111	PF07683,PF02492	PTHR13748,PTHR13748:SF4	KOG2743				AT1G80480.1	PTAC17	plastid transcriptionally active 17	Cre02.g118400.t1.1	g2457.t1	
27418812	gwEuk.13.429.1	10119	10119	PF07683,PF02492	PTHR13748,PTHR13748:SF4	KOG2743				AT1G80480.1	PTAC17	plastid transcriptionally active 17	Cre02.g118400.t1.1	g2457.t1	
27414327	gwEuk.7.560.1	10137	10137	PF01490	PTHR32195,PTHR32195:SF20			K03834		AT5G19500.1		Tryptophan/tyrosine permease	Cre13.g572200.t1.2	g14071.t1,Cre13.g572200.t1.1	
27417803	gwEuk.1.876.1	10143	10143	PF04055	PTHR13932,PTHR13932:SF3		1.3.99.22	K02495	GO:0051536,GO:0003824	AT5G63290.1		Radical SAM superfamily protein	Cre03.g171461.t1.1	g3534.t1	
27414211	gwEuk.7.562.1	10147	10147	PF01458	PTHR30508,PTHR30508:SF3			K09015	GO:0016226	AT1G32500.1	ATNAP6,NAP6	non-intrinsic ABC protein 6	Cre12.g513950.t1.2	g12687.t1,Cre12.g513950.t1.1,SUF4,SUFD	Iron-sulfur cluster assembly protein
27416172	gwEuk.10.499.1	10150	10150	PF00225	PTHR24115,PTHR24115:SF542		3.6.4.4	K10393	GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	AT3G16630.1	ATKINESIN-13A,KINESIN-13A	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre09.g386700.t1.2	g9111.t1,Cre09.g386700.t1.1,KIN13-1,kinesin-13	
27415260	gwEuk.4.671.1	10153	10153		PTHR10072,PTHR10072:SF43					AT5G03900.2		Iron-sulphur cluster biosynthesis family protein	Cre07.g338350.t1.2	g7871.t1,Cre07.g338350.t1.1	Predicted protein
27418969	gwEuk.17.224.1	10175	10175	PF01170	PTHR14911,PTHR14911:SF13		2.1.1.173						Cre17.g722250.t1.1	g17472.t1,RRM14	
27412960	gwEuk.3.783.1	10191	10191				1.13.11.4								
27416782	gwEuk.5.621.1	10204	10204	PF00561	PTHR32268,PTHR32268:SF13		2.3.1.175	K00641							
27418993	gwEuk.17.227.1	10211	10211		PTHR10281,PTHR10281:SF1					AT1G05360.1			Cre06.g272000.t1.1	g6103.t1	
27414869	gwEuk.2.667.1	10242	10242	PF00581	PTHR30401,PTHR30401:SF0			K06917							
27413074	gwEuk.3.788.1	10245	10245	PF00753	PTHR23131,PTHR23131:SF0	KOG0813	3.1.8.1			AT1G25375.1		Metallo-hydrolase/oxidoreductase superfamily protein			
27414127	gwEuk.7.566.1	10246	10246	PF01926,PF01018	PTHR11702,PTHR11702:SF3				GO:0005525,GO:0003924,GO:0000287	AT5G18570.1	ATOBGC,CPSAR1,EMB269	GTP1/OBG family protein	Cre09.g395600.t1.1	g9378.t1	
27419417	gwEuk.8.579.1	10250	10250	PF00849	PTHR11079,PTHR11079:SF73		5.4.99.24		GO:0009982,GO:0009451,GO:0003723,GO:0001522	AT1G76050.2		Pseudouridine synthase family protein	Cre02.g144002.t2.1	g2595.t1	
27419631	gwEuk.8.582.1	10263	10263	PF00288	PTHR20861,PTHR20861:SF1	KOG1537	2.7.1.39	K00872	GO:0005524	AT2G17265.1	DMR1,HSK	homoserine kinase	Cre02.g082250.t1.1	g1507.t1,HSK2	
27414275	gwEuk.7.568.1	10269	10269	PF08241	PTHR10108,PTHR10108:SF853				GO:0008168,GO:0008152	AT1G64970.1	G-TMT,TMT1,VTE4	gamma-tocopherol methyltransferase	Cre14.g624350.t1.2	g15042.t1,Cre14.g624350.t1.1,VTE6	
27418032	gwEuk.1.884.1	10299	10299	PF01171	PTHR11807,PTHR11807:SF24					AT2G44270.1	ROL5	repressor of lrx1	Cre16.g666100.t1.2	g16075.t1,Cre16.g666100.t1.1	
27419309	gwEuk.8.586.1	10308	10308	PF01795	PTHR11265,PTHR11265:SF0	KOG2782	2.1.1.199	K03438	GO:0008168	AT5G10910.1		mraW methylase family protein	Cre13.g568150.t1.1	g13980.t1,SMM45	
27418524	gwEuk.6.694.1	10314	10314	PF01479,PF00849	PTHR21600,PTHR21600:SF11		5.4.99.22		GO:0003723,GO:0009982,GO:0009451,GO:0001522	AT2G39140.1	SVR1	pseudouridine synthase family protein	Cre02.g095121.t1.1	g1894.t1	
27417216	gwEuk.15.340.1	10319	10319	PF01786	PTHR31803,PTHR31803:SF2		1.10.3.11		GO:0055114,GO:0009916	AT4G22260.1	IM,IM1	Alternative oxidase family protein	Cre07.g350750.t1.2	g8160.t1,Cre07.g350750.t1.1,PTO1	Alternative oxidase
27418278	gwEuk.6.696.1	10320	10320	PF03331	PTHR33694,PTHR33694:SF1		3.5.1.108	K02535	GO:0009245,GO:0008759	AT1G25210.1		UDP-3-O-acyl N-acetylglycosamine deacetylase family protein	Cre16.g653350.t1.2	g15800.t1,Cre16.g653350.t1.1	
27417721	gwEuk.1.885.1	10321	10321	PF01764	PTHR21493		3.1.1.3		GO:0006629	AT5G18630.1		alpha/beta-Hydrolases superfamily protein	Cre14.g611552.t1.1	g14741.t1,Cre14.g611600.t1.2,TGL22	
27419217	gwEuk.8.590.1	10348	10348	PF00106	PTHR24322,PTHR24322:SF418	KOG1611	1.1.1.100		GO:0016491,GO:0008152	AT4G20760.1		NAD(P)-binding Rossmann-fold superfamily protein	Cre16.g675450.t3.1	g16609.t2,SDR25	
27414159	gwEuk.7.577.1	10356	10356	PF09335	PTHR12677,PTHR12677:SF5				GO:0016021	AT1G22850.1		SNARE associated Golgi protein family	Cre01.g043050.t1.2	g963.t1,Cre01.g043050.t1.1,SNR2	
27415835	gwEuk.16.351.1	10367	10367	PF05419	PTHR34800,PTHR34800:SF1					AT3G59400.1	GUN4	enzyme binding;tetrapyrrole binding	Cre05.g246800.t1.2	g5196.t1,Cre05.g246800.t1.1	Tetrapyrrole-binding protein
27416006	gwEuk.16.353.1	10376	10376	PF01479,PF00849	PTHR21600,PTHR21600:SF2		5.4.99.21	K06182	GO:0003723,GO:0009982,GO:0009451,GO:0001522	AT2G39140.1	SVR1	pseudouridine synthase family protein	Cre02.g095121.t1.1	g1894.t1	
27418789	gwEuk.13.436.1	10386	10386										Cre06.g287500.t1.1	g6678.t1	
27413664	gwEuk.9.585.1	10396	10396	PF13419	PTHR18901	KOG2914				AT2G38740.1		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	Cre17.g711200.t1.2	g17223.t1,Cre17.g711200.t1.1,PGM16	
