#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
16798165	27371.t000001	27371.m000068	27371.m000068									
16798166	27371.t000002	27371.m000069	27371.m000069	PF14280								
16798167	27371.t000003	27371.m000070	27371.m000070									
16798168	27371.t000004	27371.m000071	27371.m000071	PF02810,PF03695	PTHR33747,PTHR33747:SF1							
16798169	27373.t000001	27373.m000100	27373.m000100									
16798170	27374.t000001	27374.m000035	27374.m000035									
16798171	27374.t000002	27374.m000036	27374.m000036									
16798172	27380.t000001	27380.m000065	27380.m000065	PF06187								
16798173	27380.t000002	27380.m000066	27380.m000066									
16798174	27380.t000003	27380.m000067	27380.m000067	PF01261	PTHR12110,PTHR12110:SF27		5.3.99.11					
16798175	27380.t000004	27380.m000068	27380.m000068	PF01408	PTHR22604,PTHR22604:SF105	KOG2741	1.1.1.179		GO:0016491	AT4G09670.1		Oxidoreductase family protein
16798176	27380.t000005	27380.m000069	27380.m000069									
16798177	27383.t000001	27383.m000156	27383.m000156	PF00121	PTHR21139,PTHR21139:SF6	KOG1643	5.3.1.1	K01803	GO:0008152,GO:0004807	AT3G55440.1	ATCTIMC,CYTOTPI,TPI	triosephosphate isomerase
16798178	27383.t000002	27383.m000157	27383.m000157	PF07714	PTHR27001,PTHR27001:SF124	KOG1187	2.7.11.1,2.7.10.2	K04733	GO:0006468,GO:0004672	AT2G28930.3	APK1B,PK1B	protein kinase 1B
16798179	27383.t000003	27383.m000158	27383.m000158	PF04055	PTHR30544,PTHR30544:SF6		2.1.1.192	K06941	GO:0051536,GO:0003824,GO:0008173,GO:0006364,GO:0005737	AT2G39670.1		Radical SAM superfamily protein
16798180	27383.t000004	27383.m000159	27383.m000159	PF00076	PTHR23147,PTHR23147:SF13	KOG0114		K12900	GO:0003676	AT3G55460.1	SCL30	SC35-like splicing factor 30
16798181	27383.t000005	27383.m000160	27383.m000160	PF00168	PTHR10774,PTHR10774:SF58	KOG1030			GO:0005515	AT3G55470.1		Calcium-dependent lipid-binding (CaLB domain) family protein
16798182	27383.t000006	27383.m000161	27383.m000161	PF14389,PF04784	PTHR23054,PTHR23054:SF22					AT2G39690.1		Protein of unknown function, DUF547
16798183	27383.t000007	27383.m000162	27383.m000162	PF14796,PF01602	PTHR11134,PTHR11134:SF1			K12397	GO:0030117,GO:0016192,GO:0006886,GO:0030123	AT3G55480.2	PAT2	protein affected trafficking 2
16798184	27383.t000008	27383.m000163	27383.m000163	PF03470,PF03468,PF03469	PTHR21596,PTHR21596:SF25	KOG3202			GO:0031047	AT3G48670.2	IDN2,RDM12	XH/XS domain-containing protein
16798185	27383.t000009	27383.m000164	27383.m000164	PF03330,PF01357	PTHR31867,PTHR31867:SF5					AT3G55500.1	ATEXP16,ATEXPA16,ATHEXP ALPHA 1.7,EXP16,EXPA16	expansin A16
16798186	27384.t000002	27384.m000046	27384.m000046	PF07715	PTHR40980,PTHR40980:SF3				GO:0016020,GO:0006810,GO:0004872			
16798187	27384.t000003	27384.m000047	27384.m000047									
16798188	27386.t000001	27386.m000161	27386.m000161									
16798189	27386.t000002	27386.m000162	27386.m000162	PF13619								
16798190	27386.t000003	27386.m000163	27386.m000163									
16798191	27386.t000004	27386.m000164	27386.m000164									
16798192	27386.t000005	27386.m000165	27386.m000165									
16798193	27386.t000006	27386.m000166	27386.m000166									
16798194	27386.t000007	27386.m000167	27386.m000167									
16798195	27386.t000008	27386.m000168	27386.m000168									
16798196	27386.t000009	27386.m000169	27386.m000169									
16798197	27386.t000010	27386.m000170	27386.m000170									
16798198	27389.t000001	27389.m000066	27389.m000066									
16798199	27389.t000002	27389.m000067	27389.m000067	PF00097,PF00400	PTHR22847,PTHR22847:SF451	KOG0265		K10143	GO:0046872,GO:0005515	AT2G32950.1	ATCOP1,COP1,DET340,EMB168,FUS1	Transducin/WD40 repeat-like superfamily protein
16798200	27389.t000003	27389.m000068	27389.m000068		PTHR19446,PTHR19446:SF368							
16798201	27389.t000004	27389.m000069	27389.m000069	PF16488,PF16486,PF02170,PF02171	PTHR22891,PTHR22891:SF35			K11593	GO:0005515,GO:0003676	AT2G32940.1	AGO6	Argonaute family protein
16798202	27390.t000001	27390.m000044	27390.m000044	PF01614,PF09339	PTHR30136				GO:0006355,GO:0003677			
16798203	27390.t000002	27390.m000045	27390.m000045	PF05368	PTHR14194,PTHR14194:SF46							
16798204	27390.t000003	27390.m000046	27390.m000046	PF12833	PTHR11019,PTHR11019:SF68				GO:0043565,GO:0006355,GO:0003700			
16798205	27391.t000001	27391.m000116	27391.m000116	PF00583	PTHR23091		2.3.1.1		GO:0008080			
16798206	27391.t000002	27391.m000117	27391.m000117									
16798207	27391.t000003	27391.m000118	27391.m000118	PF00126,PF03466	PTHR30126				GO:0006355,GO:0003700			
16798208	27391.t000004	27391.m000119	27391.m000119		PTHR32338,PTHR32338:SF9		1.2.1.38			AT2G19940.1		oxidoreductases, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;copper ion binding
16798209	27391.t000005	27391.m000120	27391.m000120				6.1.1.13					
16798210	27391.t000006	27391.m000121	27391.m000121									
16798211	27391.t000007	27391.m000122	27391.m000122									
16798212	27391.t000008	27391.m000123	27391.m000123									
16798213	27394.t000001	27394.m000340	27394.m000340									
16798214	27394.t000002	27394.m000341	27394.m000341	PF03171	PTHR10209,PTHR10209:SF107		1.14.11.23		GO:0055114,GO:0016491	AT5G54000.1		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
16798215	27394.t000003	27394.m000342	27394.m000342									
16798216	27394.t000004	27394.m000343	27394.m000343	PF02153	PTHR11811,PTHR11811:SF36		1.3.1.78	K15227	GO:0055114,GO:0008977,GO:0006571,GO:0004665	AT5G34930.1		arogenate dehydrogenase
16798217	27394.t000005	27394.m000344	27394.m000344	PF03030	PTHR31998,PTHR31998:SF14		3.6.1.1	K01507	GO:0016020,GO:0015992,GO:0009678,GO:0004427	AT1G15690.1	ATAVP3,AtVHP1;1,AVP-3,AVP1	Inorganic H pyrophosphatase family protein
16798218	27394.t000006	27394.m000345	27394.m000345									
16798219	27394.t000007	27394.m000346	27394.m000346		PTHR31150,PTHR31150:SF6					AT1G75400.1		RING/U-box superfamily protein
16798220	27394.t000008	27394.m000347	27394.m000347	PF04101,PF06925	PTHR21015,PTHR21015:SF25		2.4.1.46	K03715	GO:0016758,GO:0009247	AT5G20410.1	ATMGD2,MGD2	monogalactosyldiacylglycerol synthase 2
16798221	27394.t000009	27394.m000348	27394.m000348	PF04062	PTHR12391,PTHR12391:SF0	KOG3155		K05756	GO:0034314,GO:0030833,GO:0005885,GO:0005856	AT1G60430.2	ARPC3	actin-related protein C3
16798222	27394.t000010	27394.m000349	27394.m000349	PF02148,PF13423	PTHR24006,PTHR24006:SF441	KOG1867	3.4.19.12	K11366	GO:0008270	AT5G10790.1	UBP22	ubiquitin-specific protease 22
16798223	27394.t000011	27394.m000350	27394.m000350	PF16913	PTHR23051,PTHR23051:SF2	KOG2765		K15289		AT4G32140.1		EamA-like transporter family
16798224	27394.t000012	27394.m000351	27394.m000351	PF05617						AT5G15000.1		
16798225	27394.t000013	27394.m000352	27394.m000352	PF04548,PF11886	PTHR10903,PTHR10903:SF68		3.6.5.2		GO:0005525	AT5G20300.1		Avirulence induced gene (AIG1) family protein
16798226	27394.t000014	27394.m000353	27394.m000353		PTHR35834,PTHR35834:SF2							
