#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
31508820	Spipo0G0000100	Spipo0G0000100	Spipo0G0000100	PF00076,PF13812,PF01535,PF13041	PTHR24015,PTHR24015:SF274	KOG0121,KOG0107			GO:0003676	AT5G04810.1		pentatricopeptide (PPR) repeat-containing protein	LOC_Os04g58780.1		pentatricopeptide repeat protein, putative, expressed
31508327	Spipo0G0000200	Spipo0G0000200	Spipo0G0000200	PF00106	PTHR24322,PTHR24322:SF600	KOG0725	1.1.1.198		GO:0016491,GO:0008152	AT3G51680.1		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os04g33240.1		sex determination protein tasselseed-2, putative, expressed
31509049	Spipo0G0000300	Spipo0G0000300	Spipo0G0000300				1.1.1.198			AT3G29250.2		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os07g46852.3		sex determination protein tasselseed-2, putative, expressed
31507705	Spipo0G0000400	Spipo0G0000400	Spipo0G0000400	PF08659	PTHR24322,PTHR24322:SF600	KOG0725	1.1.1.331			AT3G51680.1		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os04g33240.1		sex determination protein tasselseed-2, putative, expressed
31509205	Spipo0G0000500	Spipo0G0000500	Spipo0G0000500	PF08659	PTHR24322,PTHR24322:SF600	KOG0725	1.1.1.198			AT3G51680.1		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os04g10000.1		sex determination protein tasselseed-2, putative, expressed
31507713	Spipo0G0000600	Spipo0G0000600	Spipo0G0000600	PF00106			1.1.1.145,1.1.1.51		GO:0016491,GO:0008152	AT2G47120.1		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os04g10010.1		sex determination protein tasselseed-2, putative, expressed
31508393	Spipo0G0000700	Spipo0G0000700	Spipo0G0000700	PF14227	PTHR23504,PTHR23504:SF35	KOG2816	2.7.7.49			AT2G16980.2		Major facilitator superfamily protein	LOC_Os11g05390.1		transporter, major facilitator family, putative, expressed
31508613	Spipo0G0000800	Spipo0G0000800	Spipo0G0000800		PTHR23504,PTHR23504:SF35					AT2G16980.1		Major facilitator superfamily protein	LOC_Os11g05390.1		transporter, major facilitator family, putative, expressed
31509339	Spipo0G0000900	Spipo0G0000900	Spipo0G0000900	PF08659	PTHR24322,PTHR24322:SF600	KOG0725	1.1.1.198			AT3G51680.1		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os04g33240.1		sex determination protein tasselseed-2, putative, expressed
31508659	Spipo0G0001000	Spipo0G0001000	Spipo0G0001000	PF13561,PF00106	PTHR24322,PTHR24322:SF600	KOG0725	1.1.1.198		GO:0016491,GO:0008152	AT3G51680.1		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os04g33240.1		sex determination protein tasselseed-2, putative, expressed
31509134	Spipo0G0001100	Spipo0G0001100	Spipo0G0001100	PF13561	PTHR24322,PTHR24322:SF600	KOG0725	1.1.1.198			AT3G26770.1		NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os04g33240.1		sex determination protein tasselseed-2, putative, expressed
