#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
33019977	Mapoly0001s0001	Mapoly0001s0001.1	Mapoly0001s0001.1.p	PF01348					GO:0006397			
33020444	Mapoly0001s0002	Mapoly0001s0002.1	Mapoly0001s0002.1.p	PF00628	PTHR10615,PTHR10615:SF102		2.7.10.2		GO:0005515	AT5G24330.1	ATXR6,SDG34	ARABIDOPSIS TRITHORAX-RELATED PROTEIN 6
33020161	Mapoly0001s0003	Mapoly0001s0003.1	Mapoly0001s0003.1.p									
33020610	Mapoly0001s0004	Mapoly0001s0004.1	Mapoly0001s0004.1.p		PTHR12459,PTHR12459:SF7					AT5G51150.1		Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
33020370	Mapoly0001s0005	Mapoly0001s0005.1	Mapoly0001s0005.1.p		PTHR23272							
33020026	Mapoly0001s0006	Mapoly0001s0006.1	Mapoly0001s0006.1.p		PTHR23272					AT3G42170.1		BED zinc finger ;hAT family dimerisation domain
33020494	Mapoly0001s0007	Mapoly0001s0007.1	Mapoly0001s0007.1.p	PF00190	PTHR31238				GO:0045735	AT1G02335.1	GL22	germin-like protein subfamily 2 member 2 precursor
33020231	Mapoly0001s0008	Mapoly0001s0008.1	Mapoly0001s0008.1.p									
33019885	Mapoly0001s0009	Mapoly0001s0009.1	Mapoly0001s0009.1.p	PF01398,PF13012	PTHR10540,PTHR10540:SF7	KOG1556		K03038	GO:0005515	AT5G05780.1	AE3,ATHMOV34,RPN8A	RP non-ATPase subunit 8A
33020277	Mapoly0001s0010	Mapoly0001s0010.1	Mapoly0001s0010.1.p	PF00953	PTHR22926,PTHR22926:SF3		2.7.8.13	K01000	GO:0016021,GO:0008963	AT4G18270.1	ATTRANS11,TRANS11	translocase 11
33020278	Mapoly0001s0010	Mapoly0001s0010.2	Mapoly0001s0010.2.p	PF00953	PTHR22926,PTHR22926:SF3		2.7.8.13	K01000	GO:0016021,GO:0008963	AT4G18270.1	ATTRANS11,TRANS11	translocase 11
