#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
27400552	fgenesh2_pg.C_Chr_04000195	100000	100000	PF13522,PF00733	PTHR11772,PTHR11772:SF2		6.3.5.4	K01953	GO:0006529,GO:0004066	AT5G10240.1	ASN3	asparagine synthetase 3	Cre01.g004300.t1.2	g106.t1,Cre01.g004300.t1.1,ASNS	Asparagine synthase
27400083	fgenesh2_pg.C_Chr_04000201	100006	100006	PF01565	PTHR13878,PTHR13878:SF63		1.1.3.8		GO:0055114,GO:0050660,GO:0016491				Cre14.g611650.t1.1	g14742.t1,ALO2	
27400684	fgenesh2_pg.C_Chr_04000203	100008	100008	PF13424	PTHR19959,PTHR19959:SF128								Cre12.g495250.t1.1	g12126.t1,FAL15	Similar to Flagellar Associated Protein FAP31
27400571	fgenesh2_pg.C_Chr_04000205	100010	100010	PF00082,PF09286	PTHR14218		3.4.14.9	K01279	GO:0006508,GO:0004252,GO:0008236						
27400345	fgenesh2_pg.C_Chr_04000207	100012	100012												
27400412	fgenesh2_pg.C_Chr_04000208	100013	100013												
27400456	fgenesh2_pg.C_Chr_04000210	100015	100015	PF00566	PTHR22957,PTHR22957:SF148					AT2G37290.1		Ypt/Rab-GAP domain of gyp1p superfamily protein	Cre02.g077700.t1.1	g1401.t1	
27400143	fgenesh2_pg.C_Chr_04000217	100022	100022	PF04666			2.4.1.145		GO:0016758,GO:0016020,GO:0005975						
27400634	fgenesh2_pg.C_Chr_04000218	100023	100023	PF00338	PTHR11700	KOG0900			GO:0006412,GO:0005840,GO:0003735	AT3G13120.2		Ribosomal protein S10p/S20e family protein	Cre03.g195650.t1.2	g4054.t1,Cre03.g195650.t1.1	Plastid ribosomal protein S10
27400138	fgenesh2_pg.C_Chr_04000221	100026	100026		PTHR12176					AT4G13330.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein			
27400750	fgenesh2_pg.C_Chr_04000227	100032	100032	PF03451,PF00400	PTHR13720,PTHR13720:SF9	KOG2106		K18598	GO:0005515	AT2G16780.1	MSI02,MSI2,NFC02,NFC2	Transducin family protein / WD-40 repeat family protein	Cre12.g538850.t1.1	g13248.t1	
27400211	fgenesh2_pg.C_Chr_04000229	100034	100034	PF00459	PTHR20854,PTHR20854:SF32	KOG1528	3.1.3.7	K01082	GO:0046854	AT5G54390.1	AHL,ATAHL,HL	HAL2-like	Cre01.g030250.t1.2	g686.t1,Cre01.g030250.t1.1	
27400519	fgenesh2_pg.C_Chr_04000230	100035	100035		PTHR16216,PTHR16216:SF2								Cre03.g162400.t1.1	g3329.t1	
27400044	fgenesh2_pg.C_Chr_04000231	100036	100036												
27400624	fgenesh2_pg.C_Chr_04000233	100038	100038	PF04438	PTHR15555,PTHR15555:SF0	KOG4317				AT5G63830.1		HIT-type Zinc finger family protein	Cre08.g379050.t1.1	g8921.t1	
27400047	fgenesh2_pg.C_Chr_04000234	100039	100039		PTHR31414					AT1G80540.1					
27400418	fgenesh2_pg.C_Chr_04000237	100042	100042												
27400198	fgenesh2_pg.C_Chr_04000241	100046	100046	PF16166	PTHR33510					AT2G47840.1		Uncharacterised conserved protein ycf60	Cre04.g225050.t1.1	g4918.t1	
27400760	fgenesh2_pg.C_Chr_04000250	100055	100055	PF09748		KOG3046		K15151	GO:0016592,GO:0006357,GO:0001104						
27400074	fgenesh2_pg.C_Chr_04000253	100058	100058												
27400105	fgenesh2_pg.C_Chr_04000260	100065	100065	PF08373	PTHR21228,PTHR21228:SF20					AT2G31890.1	ATRAP,RAP	RAP	Cre11.g467649.t1.1	g11580.t1,Cre18.g746250.t1.1,Cre18.g746250.t1.2	RAP-domain containing protein with FAST leucine-rich domain
27400028	fgenesh2_pg.C_Chr_04000261	100066	100066	PF13831,PF13771,PF13832	PTHR13793			K11348		AT1G77800.1		PHD finger family protein	Cre14.g614151.t1.1	g14798.t1	
27400419	fgenesh2_pg.C_Chr_04000263	100068	100068	PF04811,PF04815	PTHR13803,PTHR13803:SF10	KOG1985			GO:0030127,GO:0006888,GO:0006886	AT2G27460.1		sec23/sec24 transport family protein	Cre03.g180850.t1.2	g3748.t1,Cre03.g180850.t1.1	COP-II coat subunit
27400775	fgenesh2_pg.C_Chr_04000275	100080	100080	PF04749											
27400739	fgenesh2_pg.C_Chr_04000290	100095	100095												
27400183	fgenesh2_pg.C_Chr_04000302	100107	100107	PF12848,PF00005	PTHR19211,PTHR19211:SF56	KOG0062	3.6.1.3		GO:0016887,GO:0005524	AT3G54540.1	ATGCN4,GCN4	general control non-repressible 4	Cre06.g271850.t1.2	g6100.t1,Cre06.g271850.t1.1	
27400269	fgenesh2_pg.C_Chr_04000305	100110	100110												
27400714	fgenesh2_pg.C_Chr_04000308	100113	100113		PTHR13720	KOG2106		K18595		AT1G71840.1		transducin family protein / WD-40 repeat family protein	Cre03.g178100.t1.1	g3686.t1	Lipoxygenase
27400336	fgenesh2_pg.C_Chr_04000333	100138	100138	PF00650	PTHR10174	KOG1470				AT4G36640.1		Sec14p-like phosphatidylinositol transfer family protein	Cre16.g683400.t1.2	g16434.t1,Cre16.g683400.t1.1	
27400086	fgenesh2_pg.C_Chr_04000338	100143	100143	PF13418	PTHR23244					AT1G18610.1		Galactose oxidase/kelch repeat superfamily protein	Cre01.g011600.t1.2	g289.t1,Cre01.g011600.t1.1	
27400671	fgenesh2_pg.C_Chr_04000340	100145	100145		PTHR33876					AT4G35080.2		high-affinity nickel-transport family protein	Cre14.g629650.t1.1	g15164.t1	Nickel transporter
27400201	fgenesh2_pg.C_Chr_04000345	100150	100150	PF00140,PF04539,PF04542,PF04545	PTHR30603,PTHR30603:SF0			K03086	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677	AT1G08540.1	ABC1,ATSIG1,ATSIG2,SIG1,SIG2,SIGA,SIGB	RNApolymerase sigma subunit 2	Cre03.g194950.t1.1	g4037.t1,RPOD	Chloroplast RNA polymerase sigma factor, c
27400356	fgenesh2_pg.C_Chr_04000353	100158	100158	PF02887,PF00224	PTHR11817,PTHR11817:SF4	KOG2323	2.7.1.40	K00873	GO:0030955,GO:0006096,GO:0004743,GO:0000287	AT3G52990.1		Pyruvate kinase family protein	Cre02.g147900.t4.1	g2503.t1	Pyruvate kinase
27400288	fgenesh2_pg.C_Chr_04000354	100159	100159	PF04438	PTHR13483,PTHR13483:SF3					AT1G04945.3		HIT-type Zinc finger family protein	Cre01.g049400.t1.2	g1096.t1,Cre01.g049400.t1.1	
27400753	fgenesh2_pg.C_Chr_04000358	100163	100163	PF01585	PTHR23329,PTHR23329:SF9				GO:0003676	AT3G09850.1		D111/G-patch domain-containing protein	Cre07.g325713.t1.1	g7527.t1,Cre26.g772000.t1.1,Cre26.g772000.t1.2	
27400576	fgenesh2_pg.C_Chr_04000359	100164	100164	PF13967,PF02714	PTHR13018	KOG1134			GO:0016020	AT4G02900.1		ERD (early-responsive to dehydration stress) family protein	Cre09.g399912.t1.1	g9277.t1	
27400328	fgenesh2_pg.C_Chr_04000365	100170	100170												
27400079	fgenesh2_pg.C_Chr_04000368	100173	100173	PF07683	PTHR13748,PTHR13748:SF4								Cre12.g536900.t1.1	g13203.t1	
27400013	fgenesh2_pg.C_Chr_04000387	100192	100192		PTHR16074,PTHR16074:SF4			K16749					Cre01.g043750.t1.1	g978.t1	Bardet-Biedl syndrome-7 associated protein
27400109	fgenesh2_pg.C_Chr_04000400	100205	100205												
27400193	fgenesh2_pg.C_Chr_04000402	100207	100207												
27400633	fgenesh2_pg.C_Chr_04000427	100232	100232	PF01625			1.8.4.11		GO:0055114,GO:0008113	AT5G61640.1	ATMSRA1,PMSR1	peptidemethionine sulfoxide reductase 1	Cre08.g380300.t1.1	g8951.t1	Peptide methionine sulfoxide reductase
27400406	fgenesh2_pg.C_Chr_04000456	100261	100261												
27400580	fgenesh2_pg.C_Chr_04000464	100269	100269	PF02535	PTHR16950,PTHR16950:SF16	KOG1558		K14713	GO:0055085,GO:0046873,GO:0030001,GO:0016020	AT1G68100.1	IAR1	ZIP metal ion transporter family			
27400133	fgenesh2_pg.C_Chr_04000475	100280	100280		PTHR32083,PTHR32083:SF27								Cre09.g416550.t1.2	g10309.t1,Cre09.g416550.t1.1,FAP193	Coiled-coil flagellar protein, Move Backward Only 2
27400095	fgenesh2_pg.C_Chr_04000484	100289	100289	PF00153	PTHR24089,PTHR24089:SF35	KOG0758		K15109		AT1G79900.1	ATMBAC2,BAC2	Mitochondrial substrate carrier family protein	Cre17.g747797.t2.1	g18072.t1,Cre20.g757600.t2.1	Mitochondrial substrate carrier protein, possible carnitine/acylcarnitine carrier
27400556	fgenesh2_pg.C_Chr_04000487	100292	100292	PF07690				K08175	GO:0055085,GO:0016021				Cre03.g154400.t1.2	g3146.t1,Cre03.g154400.t1.1,MFT15	
27395842	fgenesh2_pg.C_Chr_05000026	100333	100333	PF00583	PTHR20531,PTHR20531:SF1		2.3.1.88		GO:0008080	AT1G18335.1		Acyl-CoA N-acyltransferases (NAT) superfamily protein	Cre10.g431450.t1.1	g10651.t1,NAT24	
